instrument,exchange,tm,value,type,timeinterval
BTCUSD_PERP,binance,2022/2/17 14:34,8332810,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:34,76003.773,,minutes
BTCUSDT,binance,2022/2/17 14:33,76052.434,,minutes
BTCUSD_PERP,binance,2022/2/17 14:33,8326434,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:32,8329027,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:32,76007.624,,minutes
BTCUSDT,binance,2022/2/17 14:31,75932.61,,minutes
BTCUSD_PERP,binance,2022/2/17 14:31,8328793,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:30,8328510,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:30,75979.838,,minutes
BTCUSDT,binance,2022/2/17 14:29,75973.244,,minutes
BTCUSD_PERP,binance,2022/2/17 14:29,8326215,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:28,8332467,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:28,76004.45,,minutes
BTCUSDT,binance,2022/2/17 14:27,76002.512,,minutes
BTCUSD_PERP,binance,2022/2/17 14:27,8332447,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:26,8328980,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:26,75933.655,,minutes
BTCUSDT,binance,2022/2/17 14:25,75950.21,,minutes
BTCUSD_PERP,binance,2022/2/17 14:25,8327736,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:24,8326881,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:24,75998.622,,minutes
BTCUSDT,binance,2022/2/17 14:23,75948.765,,minutes
BTCUSD_PERP,binance,2022/2/17 14:23,8335784,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:22,8343661,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:22,75931.076,,minutes
BTCUSDT,binance,2022/2/17 14:21,75982.968,,minutes
BTCUSD_PERP,binance,2022/2/17 14:21,8334230,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:20,8337400,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:20,75990.344,,minutes
BTCUSDT,binance,2022/2/17 14:19,75962.568,,minutes
BTCUSD_PERP,binance,2022/2/17 14:19,8342642,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:18,8343844,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:18,75962.732,,minutes
BTCUSDT,binance,2022/2/17 14:17,76068.81,,minutes
BTCUSD_PERP,binance,2022/2/17 14:17,8354033,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:16,8369512,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:16,76050.832,,minutes
BTCUSDT,binance,2022/2/17 14:15,76088.252,,minutes
BTCUSD_PERP,binance,2022/2/17 14:15,8389024,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:14,8388907,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:14,76140.827,,minutes
BTCUSDT,binance,2022/2/17 14:13,76246.312,,minutes
BTCUSD_PERP,binance,2022/2/17 14:13,8392364,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:12,8395505,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:12,76218.346,,minutes
BTCUSDT,binance,2022/2/17 14:11,76158.626,,minutes
BTCUSD_PERP,binance,2022/2/17 14:11,8402704,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:10,8403114,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:10,76091.55,,minutes
BTCUSDT,binance,2022/2/17 14:09,76008.23,,minutes
BTCUSD_PERP,binance,2022/2/17 14:09,8402836,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:08,8401409,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:08,75975.268,,minutes
BTCUSDT,binance,2022/2/17 14:07,75905.785,,minutes
BTCUSD_PERP,binance,2022/2/17 14:07,8409205,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:06,8416269,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:06,76286.69,,minutes
BTCUSDT,binance,2022/2/17 14:05,76261.607,,minutes
BTCUSD_PERP,binance,2022/2/17 14:05,8429099,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:04,8431174,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:04,76275.785,,minutes
BTCUSDT,binance,2022/2/17 14:03,76335.913,,minutes
BTCUSD_PERP,binance,2022/2/17 14:03,8430576,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:02,8433339,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:02,76308.995,,minutes
BTCUSDT,binance,2022/2/17 14:01,76326.45,,minutes
BTCUSD_PERP,binance,2022/2/17 14:01,8433394,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 14:00,8438702,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 14:00,76308.307,,minutes
BTCUSDT,binance,2022/2/17 13:59,76135.766,,minutes
BTCUSD_PERP,binance,2022/2/17 13:59,8435909,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:58,8424495,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:58,76120.521,,minutes
BTCUSDT,binance,2022/2/17 13:57,76056.376,,minutes
BTCUSD_PERP,binance,2022/2/17 13:57,8418883,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:56,8399912,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:56,75971.067,,minutes
BTCUSDT,binance,2022/2/17 13:55,76046.711,,minutes
BTCUSD_PERP,binance,2022/2/17 13:55,8412724,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:54,8454314,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:54,76026.528,,minutes
BTCUSDT,binance,2022/2/17 13:53,76118.462,,minutes
BTCUSD_PERP,binance,2022/2/17 13:53,8476016,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:52,8487109,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:52,76218.04,,minutes
BTCUSDT,binance,2022/2/17 13:51,76193.534,,minutes
BTCUSD_PERP,binance,2022/2/17 13:51,8487249,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:50,8488335,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:50,76185.164,,minutes
BTCUSDT,binance,2022/2/17 13:49,76179.563,,minutes
BTCUSD_PERP,binance,2022/2/17 13:49,8490712,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:48,8497088,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:48,76271.658,,minutes
BTCUSDT,binance,2022/2/17 13:47,76097.794,,minutes
BTCUSD_PERP,binance,2022/2/17 13:47,8504172,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:46,8500306,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:46,76031.054,,minutes
BTCUSDT,binance,2022/2/17 13:45,75894.987,,minutes
BTCUSD_PERP,binance,2022/2/17 13:45,8516746,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:44,8508311,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:44,75888.312,,minutes
BTCUSDT,binance,2022/2/17 13:43,75839.858,,minutes
BTCUSD_PERP,binance,2022/2/17 13:43,8515713,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:42,8510288,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:42,75858.765,,minutes
BTCUSDT,binance,2022/2/17 13:41,75849.845,,minutes
BTCUSD_PERP,binance,2022/2/17 13:41,8511338,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:40,8503225,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:40,75981.007,,minutes
BTCUSDT,binance,2022/2/17 13:39,75978.62,,minutes
BTCUSD_PERP,binance,2022/2/17 13:39,8499285,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:38,8498554,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:38,76019.133,,minutes
BTCUSDT,binance,2022/2/17 13:37,76007.951,,minutes
BTCUSD_PERP,binance,2022/2/17 13:37,8501138,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:36,8508701,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:36,75998.841,,minutes
BTCUSDT,binance,2022/2/17 13:35,75947.539,,minutes
BTCUSD_PERP,binance,2022/2/17 13:35,8511583,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:34,8526803,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:34,75918.24,,minutes
BTCUSDT,binance,2022/2/17 13:33,75852.314,,minutes
BTCUSD_PERP,binance,2022/2/17 13:33,8532999,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:32,8537116,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:32,75823.099,,minutes
BTCUSDT,binance,2022/2/17 13:31,75794.315,,minutes
BTCUSD_PERP,binance,2022/2/17 13:31,8534662,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:30,8533413,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:30,75785.199,,minutes
BTCUSDT,binance,2022/2/17 13:29,75746.678,,minutes
BTCUSD_PERP,binance,2022/2/17 13:29,8528909,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:28,8529072,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:28,75712.693,,minutes
BTCUSDT,binance,2022/2/17 13:27,75715.372,,minutes
BTCUSD_PERP,binance,2022/2/17 13:27,8522325,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:26,75606.612,,minutes
BTCUSD_PERP,binance,2022/2/17 13:26,8511203,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:25,8510381,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:25,75388.157,,minutes
BTCUSD_PERP,binance,2022/2/17 13:24,8523758,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:24,75138.891,,minutes
BTCUSDT,binance,2022/2/17 13:23,75192.123,,minutes
BTCUSD_PERP,binance,2022/2/17 13:23,8527284,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:22,75720.149,,minutes
BTCUSD_PERP,binance,2022/2/17 13:22,8546296,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:21,75800.444,,minutes
BTCUSD_PERP,binance,2022/2/17 13:21,8550596,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:20,76302.703,,minutes
BTCUSD_PERP,binance,2022/2/17 13:20,8545947,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:19,76565.043,,minutes
BTCUSD_PERP,binance,2022/2/17 13:19,8546048,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:18,76570.746,,minutes
BTCUSD_PERP,binance,2022/2/17 13:18,8545532,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:17,8541840,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:17,76558.096,,minutes
BTCUSDT,binance,2022/2/17 13:16,76559.137,,minutes
BTCUSD_PERP,binance,2022/2/17 13:16,8543142,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:15,8536769,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:15,76548.05,,minutes
BTCUSDT,binance,2022/2/17 13:14,76529.914,,minutes
BTCUSD_PERP,binance,2022/2/17 13:14,8538097,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:13,8537956,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:13,76513.155,,minutes
BTCUSDT,binance,2022/2/17 13:12,76471.059,,minutes
BTCUSD_PERP,binance,2022/2/17 13:12,8542126,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:11,8541119,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:11,76442.93,,minutes
BTCUSDT,binance,2022/2/17 13:10,76402.385,,minutes
BTCUSD_PERP,binance,2022/2/17 13:10,8537898,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:09,8531262,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:09,76375.367,,minutes
BTCUSDT,binance,2022/2/17 13:08,76356.321,,minutes
BTCUSD_PERP,binance,2022/2/17 13:08,8532677,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:07,8532637,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:07,76423.753,,minutes
BTCUSDT,binance,2022/2/17 13:06,76431.127,,minutes
BTCUSD_PERP,binance,2022/2/17 13:06,8531821,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:05,8539380,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:05,76472.184,,minutes
BTCUSDT,binance,2022/2/17 13:04,76521.468,,minutes
BTCUSD_PERP,binance,2022/2/17 13:04,8532505,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:03,8532851,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:03,76516.853,,minutes
BTCUSDT,binance,2022/2/17 13:02,76512.824,,minutes
BTCUSD_PERP,binance,2022/2/17 13:02,8531751,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 13:01,8535318,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 13:01,76522.435,,minutes
BTCUSDT,binance,2022/2/17 13:00,76560.502,,minutes
BTCUSD_PERP,binance,2022/2/17 13:00,8533413,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:59,8533313,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:59,76576.847,,minutes
BTCUSDT,binance,2022/2/17 12:58,76562.993,,minutes
BTCUSD_PERP,binance,2022/2/17 12:58,8536113,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:57,8539216,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:57,76591.185,,minutes
BTCUSDT,binance,2022/2/17 12:56,76587.203,,minutes
BTCUSD_PERP,binance,2022/2/17 12:56,8540465,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:55,8555098,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:55,76572.926,,minutes
BTCUSDT,binance,2022/2/17 12:54,76617.784,,minutes
BTCUSD_PERP,binance,2022/2/17 12:54,8563993,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:53,8570126,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:53,76677.095,,minutes
BTCUSDT,binance,2022/2/17 12:52,76674.419,,minutes
BTCUSD_PERP,binance,2022/2/17 12:52,8573217,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:51,8573389,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:51,76661.906,,minutes
BTCUSDT,binance,2022/2/17 12:50,76607.91,,minutes
BTCUSD_PERP,binance,2022/2/17 12:50,8574162,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:49,8574089,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:49,76638.185,,minutes
BTCUSDT,binance,2022/2/17 12:48,76648.821,,minutes
BTCUSD_PERP,binance,2022/2/17 12:48,8568730,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:47,8568411,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:47,76645.691,,minutes
BTCUSDT,binance,2022/2/17 12:46,76657.251,,minutes
BTCUSD_PERP,binance,2022/2/17 12:46,8569006,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:45,8562300,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:45,76662.414,,minutes
BTCUSDT,binance,2022/2/17 12:44,76654.881,,minutes
BTCUSD_PERP,binance,2022/2/17 12:44,8562824,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:43,8567077,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:43,76654.574,,minutes
BTCUSDT,binance,2022/2/17 12:42,76646.193,,minutes
BTCUSD_PERP,binance,2022/2/17 12:42,8565621,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:41,8564437,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:41,76628.864,,minutes
BTCUSDT,binance,2022/2/17 12:40,76615.473,,minutes
BTCUSD_PERP,binance,2022/2/17 12:40,8566395,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:39,8567010,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:39,76621.165,,minutes
BTCUSDT,binance,2022/2/17 12:38,76607.371,,minutes
BTCUSD_PERP,binance,2022/2/17 12:38,8574002,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:37,8585654,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:37,76662.55,,minutes
BTCUSDT,binance,2022/2/17 12:36,76681.789,,minutes
BTCUSD_PERP,binance,2022/2/17 12:36,8588918,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:35,8590975,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:35,76691.001,,minutes
BTCUSDT,binance,2022/2/17 12:34,76689.464,,minutes
BTCUSD_PERP,binance,2022/2/17 12:34,8591130,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:33,8586778,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:33,76660.398,,minutes
BTCUSDT,binance,2022/2/17 12:32,76550.926,,minutes
BTCUSD_PERP,binance,2022/2/17 12:32,8599979,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:31,8599919,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:31,76565.884,,minutes
BTCUSDT,binance,2022/2/17 12:30,76559.476,,minutes
BTCUSD_PERP,binance,2022/2/17 12:30,8596587,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:29,8598766,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:29,76569.202,,minutes
BTCUSDT,binance,2022/2/17 12:28,76568.172,,minutes
BTCUSD_PERP,binance,2022/2/17 12:28,8600220,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:27,8606488,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:27,76576.908,,minutes
BTCUSDT,binance,2022/2/17 12:26,76574.332,,minutes
BTCUSD_PERP,binance,2022/2/17 12:26,8606333,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:25,8605456,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:25,76573.258,,minutes
BTCUSDT,binance,2022/2/17 12:24,76566.932,,minutes
BTCUSD_PERP,binance,2022/2/17 12:24,8605323,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:23,8603501,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:23,76560.352,,minutes
BTCUSDT,binance,2022/2/17 12:22,76590.828,,minutes
BTCUSD_PERP,binance,2022/2/17 12:22,8599727,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:21,8600101,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:21,76581.559,,minutes
BTCUSDT,binance,2022/2/17 12:20,76564.986,,minutes
BTCUSD_PERP,binance,2022/2/17 12:20,8599898,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:19,8605421,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:19,76569.483,,minutes
BTCUSDT,binance,2022/2/17 12:18,76602.444,,minutes
BTCUSD_PERP,binance,2022/2/17 12:18,8597797,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:17,8600044,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:17,76588.794,,minutes
BTCUSDT,binance,2022/2/17 12:16,76586.014,,minutes
BTCUSD_PERP,binance,2022/2/17 12:16,8600745,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:15,8598404,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:15,76594.067,,minutes
BTCUSDT,binance,2022/2/17 12:14,76584.374,,minutes
BTCUSD_PERP,binance,2022/2/17 12:14,8596971,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:13,8593175,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:13,76581.145,,minutes
BTCUSDT,binance,2022/2/17 12:12,76586.841,,minutes
BTCUSD_PERP,binance,2022/2/17 12:12,8592658,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:11,8584404,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:11,76560.428,,minutes
BTCUSDT,binance,2022/2/17 12:10,76540.676,,minutes
BTCUSD_PERP,binance,2022/2/17 12:10,8586992,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:09,8587386,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:09,76526.932,,minutes
BTCUSDT,binance,2022/2/17 12:08,76504.732,,minutes
BTCUSD_PERP,binance,2022/2/17 12:08,8588022,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:07,8591829,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:07,76512.217,,minutes
BTCUSDT,binance,2022/2/17 12:06,76488.437,,minutes
BTCUSD_PERP,binance,2022/2/17 12:06,8586503,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:05,8587085,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:05,76457.724,,minutes
BTCUSDT,binance,2022/2/17 12:04,76365.772,,minutes
BTCUSD_PERP,binance,2022/2/17 12:04,8579277,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:03,8580181,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:03,76523.088,,minutes
BTCUSDT,binance,2022/2/17 12:02,76397.395,,minutes
BTCUSD_PERP,binance,2022/2/17 12:02,8565657,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 12:01,8557725,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 12:01,76415.351,,minutes
BTCUSDT,binance,2022/2/17 12:00,76581.264,,minutes
BTCUSD_PERP,binance,2022/2/17 12:00,8562656,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 11:59,8564472,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:59,76561.162,,minutes
BTCUSDT,binance,2022/2/17 11:58,76564.677,,minutes
BTCUSD_PERP,binance,2022/2/17 11:58,8563893,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 11:57,8562657,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:57,76570.864,,minutes
BTCUSDT,binance,2022/2/17 11:56,76560.186,,minutes
BTCUSD_PERP,binance,2022/2/17 11:56,8561940,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 11:55,8558297,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:55,76548.591,,minutes
BTCUSDT,binance,2022/2/17 11:54,76535.437,,minutes
BTCUSD_PERP,binance,2022/2/17 11:54,8559647,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 11:53,8559766,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:53,76529.53,,minutes
BTCUSDT,binance,2022/2/17 11:52,76521.071,,minutes
BTCUSD_PERP,binance,2022/2/17 11:52,8563324,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 11:51,8563004,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:51,76521.261,,minutes
BTCUSDT,binance,2022/2/17 11:50,76519.919,,minutes
BTCUSD_PERP,binance,2022/2/17 11:50,8563310,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 11:49,8559165,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:49,76504.036,,minutes
BTCUSDT,binance,2022/2/17 11:48,76501.197,,minutes
BTCUSD_PERP,binance,2022/2/17 11:48,8561984,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 11:47,8562926,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:47,76489.552,,minutes
BTCUSDT,binance,2022/2/17 11:46,76476.412,,minutes
BTCUSD_PERP,binance,2022/2/17 11:46,8562667,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 11:45,8562296,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:45,76464.974,,minutes
BTCUSDT,binance,2022/2/17 11:44,76461.367,,minutes
BTCUSD_PERP,binance,2022/2/17 11:44,8560219,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 11:43,8560951,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:43,76457.081,,minutes
BTCUSDT,binance,2022/2/17 11:42,76458.455,,minutes
BTCUSD_PERP,binance,2022/2/17 11:42,8560942,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 11:41,8559568,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:41,76452.529,,minutes
BTCUSD_PERP,binance,2022/2/17 11:40,8562417,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:40,76425.2,,minutes
BTCUSDT,binance,2022/2/17 11:39,76384.577,,minutes
BTCUSD_PERP,binance,2022/2/17 11:39,8560989,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:38,76395.523,,minutes
BTCUSD_PERP,binance,2022/2/17 11:38,8559506,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:37,76388.988,,minutes
BTCUSD_PERP,binance,2022/2/17 11:37,8557324,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:36,76383.665,,minutes
BTCUSD_PERP,binance,2022/2/17 11:36,8558788,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 11:35,8559440,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:35,76373.42,,minutes
BTCUSD_PERP,binance,2022/2/17 11:34,8556045,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:34,76374.539,,minutes
BTCUSD_PERP,binance,2022/2/17 11:33,8557200,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:33,76340.913,,minutes
BTCUSDT,binance,2022/2/17 11:32,76310.034,,minutes
BTCUSD_PERP,binance,2022/2/17 11:32,8558910,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:31,76294.44,,minutes
BTCUSD_PERP,binance,2022/2/17 11:31,8554272,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:30,76302.592,,minutes
BTCUSD_PERP,binance,2022/2/17 11:30,8554873,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 11:29,8556910,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:29,76256.959,,minutes
BTCUSDT,binance,2022/2/17 11:28,76252.775,,minutes
BTCUSD_PERP,binance,2022/2/17 11:28,8558279,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 11:27,8560839,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:27,76257.966,,minutes
BTCUSDT,binance,2022/2/17 11:26,76248.925,,minutes
BTCUSD_PERP,binance,2022/2/17 11:26,8565147,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:25,76248.332,,minutes
BTCUSD_PERP,binance,2022/2/17 11:25,8562402,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 11:24,8560297,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 11:24,76258.232,,minutes
